How old are you?,What is your gender?
23,Female
17,Male
20,Female
17,Nonbinary
24,
40,Male
23,Female
18,Male
36,Male
22,Prefer not to say
22,Female
39,Male
16,Male
30,Female
22,Male
21,Female
35,Male
17,Male
19,Male
27,Male
22,Male
20,Female
28,Female
17,Female
19,Female
24,"Physical/Biological: Male, Mental/Social: Agender"
35,Male
24,Male
34,nonbinary
21,Male
19,Female
46,Male
16,Female
18,Female
17,Female
28,Female
19,Female
18,Male
19,Male
31,Intersex
21,Male
19,male
43,Female
,
15,Male
13,Female
16,Female
23,Male
14,Queer
19,Female
28,Male
,Female
40,Male
,
14,Male
25,Male
20,Male
19,Male
16,Male
25,Female
34,Female
17,Male
31,Genderqueer
21,Nonbinary 
87,Demiqueer dragonkin
18,Male
16,Male
19,Female
19,Male
,Female
46,Female
16,Male
30,Female
37,Male
26,Male
21,Female
16,Male
26,Gender = man/woman. Sex = male/female
18,Male
16,Female
19,Male
,Male
,
21,Male
,
16,Female
15,Genderflux
31,Female
53,Male
21,Male
18,Male
25,Male
26,Female
21,Male
26,Non-binary
26,Female
15,Female
18,Female
23,Female
19,Male
14,Female
16,Male
19,Female
14,Female
26,Female
18,Female
25,Male
18,Male
23,butch
,
19,Female
18,Female
25,Female
21,Female
30,Genderfluid
24,Female
47,Male
20,Male
27,Female
17,Female
19,Male
31,Male
19,Prefer not to say
28,Female
37,Male
17,Female
15,Bigender
16,Female
19,Female
,Male
22,Non-binary
17,Male
17,Female
24,Female
16,Female
31,Female
24,Male
16,Male
16,Female
28,Female
20,Male
15,Male
17,Nonbinary
26,Female
20,Female
16,Male
34,Female
21,Male
,Nonbinary
34,Male
23,Male
17,Male
31,Female
17,Male
14,Male
25,Female
32,Female
17,Female
28,Male
22,Male
14,Male
23,Non-binary
35,Female
19,Male
18,Male
28,Female
21,Female
36,Female
34,Male
15,Male
14,Trans Male
17,Female
17,Female
17,Male
59,Male
18,Male
,Female
17,Male
17,Female
17,Female
17,Female
13,Female
22,Male
37,Male
34,nonbinary
17,GNC
18,Male
35,Male
25,Female
34,Female
23,Male
23,Male
33,other
19,Male
